Name	Price	Volume
FLDC/BTC	0.00369 mBTC	2,112,011.28 FLDC	8 BTC	8 BTC
FLO/BTC	0.01708 mBTC	454,253.22 FLO	8 BTC	8 BTC
RIC/BTC	0.02305 mBTC	331,954.97 RIC	8 BTC	8 BTC
PINK/BTC	0.00432 mBTC	1,650,860.79 PINK	7 BTC	7 BTC
HUC/BTC	0.02511 mBTC	252,804.95 HUC	7 BTC	7 BTC
CVC/ETH	0.70139 mETH	97,963.19 CVC	73 ETH	7 BTC
LTC/XMR	0.54552 XMR	398.04 LTC	213 XMR	6 BTC
BELA/BTC	0.02723 mBTC	219,554.08 BELA	6 BTC	6 BTC
XBC/BTC	0.00964 BTC	380.37 XBC	4 BTC	4 BTC
NMC/BTC	0.36167 mBTC	7,858.63 NMC	3 BTC	3 BTC
XVC/BTC	0.06279 mBTC	45,710.85 XVC	3 BTC	3 BTC
NXT/XMR	0.87311 mXMR	91,820.20 NXT	81 XMR	2 BTC
BTM/BTC	0.17405 mBTC	13,868.98 BTM	2 BTC	2 BTC
GNO/ETH	0.22355 ETH	109.04 GNO	25 ETH	2 BTC
ZEC/XMR	1.40991 XMR	34.25 ZEC	48 XMR	1 BTC
DASH/XMR	2.37309 XMR	14.08 DASH	33 XMR	1 BTC
BTCD/XMR	0.56510 XMR	41.84 BTCD	26 XMR	1 BTC
MAID/XMR	0.00199 XMR	7,261.33 MAID	15 XMR	0 BTC
BCN/XMR	0.02028 mXMR	319,497.57 BCN	6 XMR	0 BTC
BLK/XMR	0.00164 XMR	1,673.13 BLK	3 XMR	0 BTC
